Movie,Budget (Millions USD),RT Critics Score (%),RT Audience Score (%)
Wicked,145,88,95
Zootopia 2,150,93,96
Sinners,95,97,97
Oppenheimer,100,93,91
Superman,225,82,96
No Other Choice,12,97,93
One Battle After Another,150,94,88
Dune: Part Two,190,92,95
Marty Supreme,65,93,83
Barbie,145,88,83
